Words,Amount
і,1529
не,1421
на,1250
він,968
в,960
що,917
я,912
й,780
з,758
а,699
у,623
до,578
це,541
монтег,465
як,417
вони,403
його,390
так,369
ви,355
за,329
ми,329
але,320
вона,320
ти,280
про,263
коли,252
чи,244
ще,237
все,220
її,208
ні,207
від,195
мені,190
по,182
то,181
мене,176
було,173
наче,171
нього,168
тепер,164
може,160
йому,153
ж,148
ніби,145
тут,141
їх,141
щось,136
вже,135
та,133
нас,132
ось,131
мілред,128
вас,125
нічого,123
лише,119
був,116
там,116
бітті,113
під,113
всі,111
п,111
щоб,110
сказав,107
для,104
них,101
себе,101
тоді,101
можна,100
собі,100
тільки,100
де,97
б,95
книжки,95
знову,94
хто,93
із,93
буде,92
люди,89
потім,89
тебе,89
треба,89
через,85
якщо,84
мов,83
очі,83
просто,83
те,82
час,82
вам,81
дуже,80
руки,80
сам,80
далі,79
які,78
обличчя,76
є,76
навіть,75
нам,75
тому,75
цього,75
зараз,73
були,72
тобі,71
старий,70
ну,69
ніколи,69
усе,69
монтега,68
років,68
того,68
той,68
чому,67
голос,66
чого,66
бо,65
який,65
зі,64
пані,64
двері,63
книжку,63
фабер,63
хай,63
еттіл,62
життя,62
один,62
уже,62
чоловік,62
знаю,61
аби,60
була,60
хоч,58
раптом,57
колись,56
кілька,56
сюзен,56
над,55
одного,55
нарешті,54
воно,53
думав,53
людей,53
мовив,53
би,52
більше,52
міста,52
стояв,52
таке,52
неї,51
поки,51
саме,51
хтось,51
хіба,51
цей,50
ця,50
ять,50
біля,49
міг,49
о,49
добре,48
землі,48
яка,48
їм,48
дружина,47
перед,47
ці,47
бути,46
дев,46
крізь,46
мишка,46
от,46
багато,45
відповів,45
два,45
сказала,45
трохи,45
вулф,44
гаразд,44
знов,44
одне,44
подумав,44
світ,44
сьогодні,44
часу,44
день,43
шеллі,43
бачив,42
пам,42
сюди,42
теж,42
діти,41
завжди,41
мій,41
руку,41
справді,41
томе,41
уїльям,41
дивився,40
землю,40
знав,40
зовсім,40
ними,40
повітря,40
тиша,40
гаррі,39
десять,39
каже,39
назад,39
стіни,39
хочу,39
місто,38
пес,38
повільно,38
дверей,37
зробити,37
надто,37
рік,37
свого,37
скільки,37
хотів,37
адже,36
запитав,36
куди,36
можу,36
певне,36
полум,36
разом,36
своїх,36
весь,35
людина,35
почав,35
свої,35
боже,34
десь,34
мабуть,34
небо,34
отже,34
свою,34
слова,34
такий,34
холліс,34
без,33
біттерінг,33
машина,33
ним,33
побачив,33
ракети,33
самі,33
тридцять,33
філд,33
вогонь,32
геть,32
дві,32
нема,32
раз,32
сказати,32
аж,31
будинку,31
всіх,31
марс,31
мати,31
немає,31
тим,31
яких,31
яку,31
вітер,30
годину,30
еге,30
здавалося,30
краще,30
ледь,30
моя,30
отак,30
серед,30
цієї,30
закричав,29
пане,29
такі,29
три,29
цю,29
авжеж,28
війна,28
давно,28
дітей,28
жінки,28
здається,28
знаєте,28
мало,28
миль,28
мовчки,28
ніхто,28
повітрі,28
така,28
швидко,28
їй,28
байдуже,27
вами,27
голову,27
дивлячись,27
звісно,27
казав,27
міллі,27
промовив,27
руках,27
сонце,27
цьому,27
якусь,27
інших,27
будинок,26
відчув,26
вітальні,26
дівчина,26
дім,26
ночі,26
ніч,26
одна,26
після,26
року,26
сімс,26
усі,26
чув,26
png,25
картинка,25
кімнати,25
мить,25
ноги,25
оце,25
речі,25
робити,25
слід,25
том,25
тіло,25
хочеш,25
чотири,25
книжок,24
м,24
сама,24
самого,24
свій,24
тих,24
усіх,24
ходімо,24
чоловіка,24
якого,24
або,23
важко,23
вікна,23
глянув,23
голоси,23
гренджер,23
дивилися,23
дивно,23
жінка,23
керрі,23
клариса,23
кров,23
майже,23
марсі,23
наші,23
невже,23
одну,23
протягом,23
світі,23
сидів,23
якби,23
далеко,22
додому,22
запах,22
звичайно,22
звідси,22
кімнаті,22
машину,22
намагався,22
нею,22
од,22
подивився,22
поруч,22
правда,22
підвівся,22
собою,22
тисяча,22
туди,22
ім,22
вигукнув,21
головою,21
завтра,21
знати,21
кожен,21
марсіани,21
ньому,21
ніж,21
однак,21
прошепотів,21
слово,21
стояла,21
стільки,21
таки,21
тисяч,21
тисячі,21
хотілося,21
щойно,21
якийсь,21
ятдесят,21
інші,21
бачила,20
вперед,20
вів,20
генрі,20
дня,20
дурниці,20
дядько,20
засміявся,20
знаєш,20
зупинився,20
мелтон,20
морріс,20
місяць,20
ній,20
очима,20
рукою,20
світло,20
сиділи,20
спокійно,20
тихо,20
хвилин,20
цих,20
якась,20
ятсот,20
брандмейстер,19
води,19
вулиці,19
відчував,19
вій,19
дерева,19
дивилася,19
довго,19
дому,19
досить,19
кричав,19
монтегові,19
наша,19
отож,19
подих,19
пожежники,19
річ,19
своє,19
шість,19
вийшов,18
днів,18
кажу,18
могли,18
моє,18
міцно,18
пожежників,18
пригадав,18
пса,18
ракета,18
роботи,18
річки,18
став,18
сто,18
стіну,18
таких,18
ті,18
тієї,18
ані,17
годин,17
година,17
господи,17
дивіться,17
дні,17
друга,17
другий,17
думаю,17
думки,17
дурень,17
зненацька,17
кажуть,17
карти,17
лежали,17
марсіан,17
